c++, a language
next_permutation, STL <algorithm> Min/Max
prev_permutation, STL <algorithm> Min/Max
size, a string member function
length, a string attribute
max_size, a string member function
resize, a string member function
capacity, a string member function
reserve, a string member function
clear, a string member function
empty, a string member function
shrink_to_fit, a string member function
operator[], a string member function
at, a string member function
back, a string member function
front, a string member function
operator+=, a string member function
append, a string member function
push_back, a string member function
assign, a string member function
insert, a string member function
erase, a string member function
replace, a string member function
swap, a string member function
pop_back, a string member function
c_str, a string member function
data, a string member function
get_allocator, a string member function
copy, a string member function
find, a string member function
rfind, a string member function
find_first_of, a string member function
find_last_of, a string member function
find_first_not_of, a string member function
find_last_not_of, a string member function
substr, a string member function
compare, a string member function
operator+, a string member function
operator>>, a string member function
operator<<, a string member function
getline, a string member function
stoi, STL <string>
stol, STL <string>
stoul, STL <string>
stoll, STL <string>
stoull, STL <string>
stof, STL <string>
stod, STL <string>
stold, STL <string>
